element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Fe,1,4890.4671,0.0007,4890.4672,0.0003
Dy,2,4890.70,0.10,,
Ho,2,4891.04,0.10,,
Cr,1,4891.08,0.03,4891.0571,0.0005
Ti,1,4891.191,0.003,4891.1908,0.0007
Th,2,4891.2208,0.0004,4891.22055,0.00006
Na,7,,,4890,30
V,1,4891.439,0.003,4891.4384,0.0012
V,1,4891.439,0.003,4891.4394,0.0007
Dy,2,4891.47,0.10,,
Cr,1,4891.59,0.04,4891.56,0.03
Cr,1,4891.59,0.04,4891.59,0.04
Th,2,4891.8007,0.0007,4891.80052,0.00010
Nd,2,4892.07,0.10,4892.060+,0.003
Fe,1,4892.1206,0.0007,4892.1207,0.0003
Ti,1,4892.361,0.003,4892.3593,0.0019
Fe,1,4892.414,0.005,4892.4143,0.0008
Fe,1,4892.510,0.004,4892.5122,0.0003
V,1,4892.587,0.002,4892.5864,0.0014
Fe,1,4892.8581,0.0007,4892.8579,0.0003
V,1,4892.9440,0.0018,4892.9434,0.0007
Cr,1,4892.96,0.03,4892.9686,0.0005
Ti,1,4893.221,0.003,4893.2295,0.0010
Cr,1,4893.344,0.004,4893.3463,0.0003
Sr,1,4893.346,0.003,4893.3461,0.0021
Sr,1,4894.005,0.005,4894.0083,0.0019
V,1,4894.09,0.04,4894.1050,0.0012
Fe,1,4894.2249,0.0007,4894.2250,0.0003
Ti,1,4894.418,0.003,4894.4191,0.0017
Ti,1,4894.775,0.003,4894.7764,0.0007
Y,1,4894.802,0.010,4894.8041,0.0012
Th,2,4894.883,0.003,4894.88314,0.00017
Ti,1,4895.258,0.003,4895.2548,0.0012
Th,2,4895.718,0.003,4895.7172,0.0003
Cr,1,4895.74,0.03,4895.747,0.014
Th,2,4895.764,0.003,4895.76307,0.00012
Cr,1,4896.81,0.06,4896.7787,0.0004
Ru,1,4896.97,0.10,4896.96+,0.03
Th,2,4897.0302,0.0006,4897.03005,0.00017
Th,2,4897.630,0.003,4897.63573,0.00014
V,1,4897.726,0.004,4897.7247,0.0012
Fe,1,4897.8055,0.0019,4897.8056,0.0003
Ho,2,4897.81,0.10,,
Cr,1,4897.84,0.03,4897.8475,0.0004
V,1,4897.864,0.004,4897.8612,0.0012
Cr,1,4898.883,0.020,4898.87445,0.00022
V,1,4899.226,0.004,4899.2251,0.0019
Th,2,4899.2943,0.0019,4899.29819,0.00019
V,1,4899.809,0.004,4899.8080,0.0012
Th,2,4899.8277,0.0003,4899.82775,0.00010
Cr,1,4899.829,0.008,4899.8284,0.0003
Th,2,4900.1723,0.0003,4900.17242,0.00012
